date,unique_visitors_14d,total_views_14d,repo_refs,open_issues_external,prs_external_total,plugins,skills,workshop_skills,agents
2026-07-31,44,654,4,1,12,10,45,17,6
2026-08-17,63,683,4,1,7,12,46,17,6
2026-08-19,63,812,4,1,7,12,50,17,6
2026-08-24,65,1018,4,1,10,12,50,17,6
2026-08-25,68,1267,5,1,10,12,51,17,6
2026-08-31,58,1112,6,1,10,12,51,17,6
2026-09-02,56,994,5,1,10,12,51,17,6
2026-09-07,56,920,7,1,10,14,51,17,7
2026-09-14,64,1418,8,1,18,14,52,17,7
2026-09-21,70,1546,8,0,23,15,58,17,8
